"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietny_czas_trwania_budowy_nowych_budynkow_mieszkalnych_wielorodzinnych_mc"
"27841",262000,"Powiat m.Legnica",2003,NA
"27842",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"27843",264000,"Powiat m.Wrocław",2003,NA
"27844",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"27845",401000,"Powiat aleksandrowski",2003,NA
"27846",402000,"Powiat brodnicki",2003,NA
"27847",403000,"Powiat bydgoski",2003,NA
"27848",404000,"Powiat chełmiński",2003,NA
"27849",405000,"Powiat golubsko-dobrzyński",2003,NA
"27850",406000,"Powiat grudziądzki",2003,NA
"27851",407000,"Powiat inowrocławski",2003,NA
"27852",408000,"Powiat lipnowski",2003,NA
"27853",409000,"Powiat mogileński",2003,NA
"27854",410000,"Powiat nakielski",2003,NA
"27855",411000,"Powiat radziejowski",2003,NA
"27856",412000,"Powiat rypiński",2003,NA
"27857",413000,"Powiat sępoleński",2003,NA
"27858",414000,"Powiat świecki",2003,NA
"27859",415000,"Powiat toruński",2003,NA
"27860",416000,"Powiat tucholski",2003,NA
"27861",417000,"Powiat wąbrzeski",2003,NA
"27862",418000,"Powiat włocławski",2003,NA
"27863",419000,"Powiat żniński",2003,NA
"27864",461000,"Powiat m.Bydgoszcz",2003,NA
"27865",462000,"Powiat m.Grudziądz",2003,NA
"27866",463000,"Powiat m.Toruń",2003,NA
"27867",464000,"Powiat m.Włocławek",2003,NA
"27868",601000,"Powiat bialski",2003,NA
"27869",602000,"Powiat biłgorajski",2003,NA
"27870",603000,"Powiat chełmski",2003,NA
"27871",604000,"Powiat hrubieszowski",2003,NA
"27872",605000,"Powiat janowski",2003,NA
"27873",606000,"Powiat krasnostawski",2003,NA
"27874",607000,"Powiat kraśnicki",2003,NA
"27875",608000,"Powiat lubartowski",2003,NA
"27876",609000,"Powiat lubelski",2003,NA
"27877",610000,"Powiat łęczyński",2003,NA
"27878",611000,"Powiat łukowski",2003,NA
"27879",612000,"Powiat opolski",2003,NA
"27880",613000,"Powiat parczewski",2003,NA
"27881",614000,"Powiat puławski",2003,NA
"27882",615000,"Powiat radzyński",2003,NA
"27883",616000,"Powiat rycki",2003,NA
"27884",617000,"Powiat świdnicki",2003,NA
"27885",618000,"Powiat tomaszowski",2003,NA
"27886",619000,"Powiat włodawski",2003,NA
"27887",620000,"Powiat zamojski",2003,NA
"27888",661000,"Powiat m.Biała Podlaska",2003,NA
"27889",662000,"Powiat m.Chełm",2003,NA
"27890",663000,"Powiat m.Lublin",2003,NA
"27891",664000,"Powiat m.Zamość",2003,NA
"27892",801000,"Powiat gorzowski",2003,NA
"27893",802000,"Powiat krośnieński",2003,NA
"27894",803000,"Powiat międzyrzecki",2003,NA
"27895",804000,"Powiat nowosolski",2003,NA
"27896",805000,"Powiat słubicki",2003,NA
"27897",806000,"Powiat strzelecko-drezdenecki",2003,NA
"27898",807000,"Powiat sulęciński",2003,NA
"27899",808000,"Powiat świebodziński",2003,NA
"27900",809000,"Powiat zielonogórski",2003,NA
"27901",810000,"Powiat żagański",2003,NA
"27902",811000,"Powiat żarski",2003,NA
"27903",812000,"Powiat wschowski",2003,NA
"27904",861000,"Powiat m.Gorzów Wielkopolski",2003,NA
"27905",862000,"Powiat m.Zielona Góra",2003,NA
"27906",1001000,"Powiat bełchatowski",2003,NA
"27907",1002000,"Powiat kutnowski",2003,NA
"27908",1003000,"Powiat łaski",2003,NA
"27909",1004000,"Powiat łęczycki",2003,NA
"27910",1005000,"Powiat łowicki",2003,NA
"27911",1006000,"Powiat łódzki wschodni",2003,NA
"27912",1007000,"Powiat opoczyński",2003,NA
"27913",1008000,"Powiat pabianicki",2003,NA
"27914",1009000,"Powiat pajęczański",2003,NA
"27915",1010000,"Powiat piotrkowski",2003,NA
"27916",1011000,"Powiat poddębicki",2003,NA
"27917",1012000,"Powiat radomszczański",2003,NA
"27918",1013000,"Powiat rawski",2003,NA
"27919",1014000,"Powiat sieradzki",2003,NA
"27920",1015000,"Powiat skierniewicki",2003,NA
"27921",1016000,"Powiat tomaszowski",2003,NA
"27922",1017000,"Powiat wieluński",2003,NA
"27923",1018000,"Powiat wieruszowski",2003,NA
"27924",1019000,"Powiat zduńskowolski",2003,NA
"27925",1020000,"Powiat zgierski",2003,NA
"27926",1021000,"Powiat brzeziński",2003,NA
"27927",1061000,"Powiat m.Łódź",2003,NA
"27928",1062000,"Powiat m.Piotrków Trybunalski",2003,NA
"27929",1063000,"Powiat m.Skierniewice",2003,NA
"27930",1201000,"Powiat bocheński",2003,NA
"27931",1202000,"Powiat brzeski",2003,NA
"27932",1203000,"Powiat chrzanowski",2003,NA
"27933",1204000,"Powiat dąbrowski",2003,NA
"27934",1205000,"Powiat gorlicki",2003,NA
"27935",1206000,"Powiat krakowski",2003,NA
"27936",1207000,"Powiat limanowski",2003,NA
"27937",1208000,"Powiat miechowski",2003,NA
"27938",1209000,"Powiat myślenicki",2003,NA
"27939",1210000,"Powiat nowosądecki",2003,NA
"27940",1211000,"Powiat nowotarski",2003,NA
"27941",1212000,"Powiat olkuski",2003,NA
"27942",1213000,"Powiat oświęcimski",2003,NA
"27943",1214000,"Powiat proszowicki",2003,NA
"27944",1215000,"Powiat suski",2003,NA
"27945",1216000,"Powiat tarnowski",2003,NA
"27946",1217000,"Powiat tatrzański",2003,NA
"27947",1218000,"Powiat wadowicki",2003,NA
"27948",1219000,"Powiat wielicki",2003,NA
"27949",1261000,"Powiat m.Kraków",2003,NA
"27950",1262000,"Powiat m.Nowy Sącz",2003,NA
"27951",1263000,"Powiat m.Tarnów",2003,NA
"27952",1401000,"Powiat białobrzeski",2003,NA
"27953",1402000,"Powiat ciechanowski",2003,NA
"27954",1403000,"Powiat garwoliński",2003,NA
"27955",1404000,"Powiat gostyniński",2003,NA
"27956",1405000,"Powiat grodziski",2003,NA
"27957",1406000,"Powiat grójecki",2003,NA
"27958",1407000,"Powiat kozienicki",2003,NA
"27959",1408000,"Powiat legionowski",2003,NA
"27960",1409000,"Powiat lipski",2003,NA
"27961",1410000,"Powiat łosicki",2003,NA
"27962",1411000,"Powiat makowski",2003,NA
"27963",1412000,"Powiat miński",2003,NA
"27964",1413000,"Powiat mławski",2003,NA
"27965",1414000,"Powiat nowodworski",2003,NA
"27966",1415000,"Powiat ostrołęcki",2003,NA
"27967",1416000,"Powiat ostrowski",2003,NA
"27968",1417000,"Powiat otwocki",2003,NA
"27969",1418000,"Powiat piaseczyński",2003,NA
"27970",1419000,"Powiat płocki",2003,NA
