"","Kod","Nazwa","rok","Osoby_w_zamachach_samobojczych_liczba_samobojstw_zakonczonych_zgonem_na_100_tys_ludnosci_ogolem_osoba"
"2741",804000,"Powiat nowosolski",2019,NA
"2742",805000,"Powiat słubicki",2019,NA
"2743",806000,"Powiat strzelecko-drezdenecki",2019,NA
"2744",807000,"Powiat sulęciński",2019,NA
"2745",808000,"Powiat świebodziński",2019,NA
"2746",809000,"Powiat zielonogórski",2019,NA
"2747",810000,"Powiat żagański",2019,NA
"2748",811000,"Powiat żarski",2019,NA
"2749",812000,"Powiat wschowski",2019,NA
"2750",861000,"Powiat m.Gorzów Wielkopolski",2019,NA
"2751",862000,"Powiat m.Zielona Góra",2019,NA
"2752",1001000,"Powiat bełchatowski",2019,NA
"2753",1002000,"Powiat kutnowski",2019,NA
"2754",1003000,"Powiat łaski",2019,NA
"2755",1004000,"Powiat łęczycki",2019,NA
"2756",1005000,"Powiat łowicki",2019,NA
"2757",1006000,"Powiat łódzki wschodni",2019,NA
"2758",1007000,"Powiat opoczyński",2019,NA
"2759",1008000,"Powiat pabianicki",2019,NA
"2760",1009000,"Powiat pajęczański",2019,NA
"2761",1010000,"Powiat piotrkowski",2019,NA
"2762",1011000,"Powiat poddębicki",2019,NA
"2763",1012000,"Powiat radomszczański",2019,NA
"2764",1013000,"Powiat rawski",2019,NA
"2765",1014000,"Powiat sieradzki",2019,NA
"2766",1015000,"Powiat skierniewicki",2019,NA
"2767",1016000,"Powiat tomaszowski",2019,NA
"2768",1017000,"Powiat wieluński",2019,NA
"2769",1018000,"Powiat wieruszowski",2019,NA
"2770",1019000,"Powiat zduńskowolski",2019,NA
"2771",1020000,"Powiat zgierski",2019,NA
"2772",1021000,"Powiat brzeziński",2019,NA
"2773",1061000,"Powiat m.Łódź",2019,NA
"2774",1062000,"Powiat m.Piotrków Trybunalski",2019,NA
"2775",1063000,"Powiat m.Skierniewice",2019,NA
"2776",1201000,"Powiat bocheński",2019,NA
