"","Kod","Nazwa","rok","ludnosc_grupy_ekonomiczne_w_wieku_poprodukcyjnym_proc"
"14132",404000,"Powiat chełmiński",2003,13.3
"14133",405000,"Powiat golubsko-dobrzyński",2003,13.9
"14134",406000,"Powiat grudziądzki",2003,12.5
"14135",407000,"Powiat inowrocławski",2003,13.8
"14136",408000,"Powiat lipnowski",2003,14
"14137",409000,"Powiat mogileński",2003,13.7
"14138",410000,"Powiat nakielski",2003,12.2
"14139",411000,"Powiat radziejowski",2003,16.2
"14140",412000,"Powiat rypiński",2003,15
"14141",413000,"Powiat sępoleński",2003,13.4
"14142",414000,"Powiat świecki",2003,12.8
"14143",415000,"Powiat toruński",2003,12.1
"14144",416000,"Powiat tucholski",2003,13.1
"14145",417000,"Powiat wąbrzeski",2003,14.3
"14146",418000,"Powiat włocławski",2003,15.6
"14147",419000,"Powiat żniński",2003,13.1
"14148",461000,"Powiat m.Bydgoszcz",2003,16.3
"14149",462000,"Powiat m.Grudziądz",2003,15.3
"14150",463000,"Powiat m.Toruń",2003,14
"14151",464000,"Powiat m.Włocławek",2003,13.9
"14152",601000,"Powiat bialski",2003,18.2
"14153",602000,"Powiat biłgorajski",2003,16.4
"14154",603000,"Powiat chełmski",2003,17.7
"14155",604000,"Powiat hrubieszowski",2003,17.9
"14156",605000,"Powiat janowski",2003,18
"14157",606000,"Powiat krasnostawski",2003,20.5
"14158",607000,"Powiat kraśnicki",2003,17.8
"14159",608000,"Powiat lubartowski",2003,16.7
"14160",609000,"Powiat lubelski",2003,16.8
"14161",610000,"Powiat łęczyński",2003,11.8
"14162",611000,"Powiat łukowski",2003,15.3
"14163",612000,"Powiat opolski",2003,17.5
"14164",613000,"Powiat parczewski",2003,17.8
"14165",614000,"Powiat puławski",2003,16.8
"14166",615000,"Powiat radzyński",2003,16.6
"14167",616000,"Powiat rycki",2003,15.8
"14168",617000,"Powiat świdnicki",2003,15.9
"14169",618000,"Powiat tomaszowski",2003,17.4
"14170",619000,"Powiat włodawski",2003,16.2
"14171",620000,"Powiat zamojski",2003,19.6
"14172",661000,"Powiat m.Biała Podlaska",2003,10.7
"14173",662000,"Powiat m.Chełm",2003,13.1
"14174",663000,"Powiat m.Lublin",2003,14.8
"14175",664000,"Powiat m.Zamość",2003,12.1
"14176",801000,"Powiat gorzowski",2003,12.5
"14177",802000,"Powiat krośnieński",2003,12.7
"14178",803000,"Powiat międzyrzecki",2003,13.2
"14179",804000,"Powiat nowosolski",2003,13.9
"14180",805000,"Powiat słubicki",2003,12.1
"14181",806000,"Powiat strzelecko-drezdenecki",2003,13.5
"14182",807000,"Powiat sulęciński",2003,13.9
"14183",808000,"Powiat świebodziński",2003,13.6
"14184",809000,"Powiat zielonogórski",2003,11.9
"14185",810000,"Powiat żagański",2003,14.2
"14186",811000,"Powiat żarski",2003,13.6
"14187",812000,"Powiat wschowski",2003,12.5
"14188",861000,"Powiat m.Gorzów Wielkopolski",2003,13.4
"14189",862000,"Powiat m.Zielona Góra",2003,14.8
"14190",1001000,"Powiat bełchatowski",2003,11.5
"14191",1002000,"Powiat kutnowski",2003,16.6
"14192",1003000,"Powiat łaski",2003,16.4
"14193",1004000,"Powiat łęczycki",2003,18.6
"14194",1005000,"Powiat łowicki",2003,17.3
"14195",1006000,"Powiat łódzki wschodni",2003,15.5
"14196",1007000,"Powiat opoczyński",2003,16.1
"14197",1008000,"Powiat pabianicki",2003,17.5
"14198",1009000,"Powiat pajęczański",2003,17.4
"14199",1010000,"Powiat piotrkowski",2003,17.2
"14200",1011000,"Powiat poddębicki",2003,18.3
"14201",1012000,"Powiat radomszczański",2003,16.9
"14202",1013000,"Powiat rawski",2003,15.8
"14203",1014000,"Powiat sieradzki",2003,15.8
"14204",1015000,"Powiat skierniewicki",2003,19.7
"14205",1016000,"Powiat tomaszowski",2003,16.6
"14206",1017000,"Powiat wieluński",2003,16.8
"14207",1018000,"Powiat wieruszowski",2003,15.4
"14208",1019000,"Powiat zduńskowolski",2003,15.2
"14209",1020000,"Powiat zgierski",2003,16.3
"14210",1021000,"Powiat brzeziński",2003,16.2
"14211",1061000,"Powiat m.Łódź",2003,19.3
"14212",1062000,"Powiat m.Piotrków Trybunalski",2003,14.7
"14213",1063000,"Powiat m.Skierniewice",2003,13
"14214",1201000,"Powiat bocheński",2003,14
"14215",1202000,"Powiat brzeski",2003,14.4
"14216",1203000,"Powiat chrzanowski",2003,16
"14217",1204000,"Powiat dąbrowski",2003,15.2
"14218",1205000,"Powiat gorlicki",2003,15.1
"14219",1206000,"Powiat krakowski",2003,15.4
"14220",1207000,"Powiat limanowski",2003,13.4
"14221",1208000,"Powiat miechowski",2003,19.6
"14222",1209000,"Powiat myślenicki",2003,13.1
"14223",1210000,"Powiat nowosądecki",2003,12.9
"14224",1211000,"Powiat nowotarski",2003,13.4
"14225",1212000,"Powiat olkuski",2003,15.6
"14226",1213000,"Powiat oświęcimski",2003,15.6
"14227",1214000,"Powiat proszowicki",2003,16.9
"14228",1215000,"Powiat suski",2003,15.4
"14229",1216000,"Powiat tarnowski",2003,14.8
"14230",1217000,"Powiat tatrzański",2003,15.6
"14231",1218000,"Powiat wadowicki",2003,14.4
"14232",1219000,"Powiat wielicki",2003,14.4
"14233",1261000,"Powiat m.Kraków",2003,16.8
"14234",1262000,"Powiat m.Nowy Sącz",2003,13.2
"14235",1263000,"Powiat m.Tarnów",2003,15.2
"14236",1401000,"Powiat białobrzeski",2003,15.6
"14237",1402000,"Powiat ciechanowski",2003,14.3
"14238",1403000,"Powiat garwoliński",2003,15.4
"14239",1404000,"Powiat gostyniński",2003,15.4
"14240",1405000,"Powiat grodziski",2003,16.2
"14241",1406000,"Powiat grójecki",2003,16.4
"14242",1407000,"Powiat kozienicki",2003,15.7
