"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_mieszkania"
"409",261000,"Powiat m.Jelenia Góra",1996,282
"410",262000,"Powiat m.Legnica",1996,22
"411",263000,"Powiat m.Wałbrzych do 2002",1996,66
"412",264000,"Powiat m.Wrocław",1996,1234
"413",265000,"Powiat m.Wałbrzych od 2013",1996,NA
"414",401000,"Powiat aleksandrowski",1996,36
"415",402000,"Powiat brodnicki",1996,119
"416",403000,"Powiat bydgoski",1996,161
"417",404000,"Powiat chełmiński",1996,25
"418",405000,"Powiat golubsko-dobrzyński",1996,29
"419",406000,"Powiat grudziądzki",1996,28
"420",407000,"Powiat inowrocławski",1996,381
"421",408000,"Powiat lipnowski",1996,84
"422",409000,"Powiat mogileński",1996,64
"423",410000,"Powiat nakielski",1996,148
"424",411000,"Powiat radziejowski",1996,57
"425",412000,"Powiat rypiński",1996,44
"426",413000,"Powiat sępoleński",1996,18
"427",414000,"Powiat świecki",1996,89
"428",415000,"Powiat toruński",1996,36
"429",416000,"Powiat tucholski",1996,34
"430",417000,"Powiat wąbrzeski",1996,46
"431",418000,"Powiat włocławski",1996,79
"432",419000,"Powiat żniński",1996,53
"433",461000,"Powiat m.Bydgoszcz",1996,840
"434",462000,"Powiat m.Grudziądz",1996,63
"435",463000,"Powiat m.Toruń",1996,798
"436",464000,"Powiat m.Włocławek",1996,364
"437",601000,"Powiat bialski",1996,107
"438",602000,"Powiat biłgorajski",1996,121
"439",603000,"Powiat chełmski",1996,105
"440",604000,"Powiat hrubieszowski",1996,81
"441",605000,"Powiat janowski",1996,121
"442",606000,"Powiat krasnostawski",1996,111
"443",607000,"Powiat kraśnicki",1996,205
"444",608000,"Powiat lubartowski",1996,199
"445",609000,"Powiat lubelski",1996,164
"446",610000,"Powiat łęczyński",1996,104
"447",611000,"Powiat łukowski",1996,205
"448",612000,"Powiat opolski",1996,71
"449",613000,"Powiat parczewski",1996,54
"450",614000,"Powiat puławski",1996,237
"451",615000,"Powiat radzyński",1996,120
"452",616000,"Powiat rycki",1996,108
"453",617000,"Powiat świdnicki",1996,248
"454",618000,"Powiat tomaszowski",1996,239
"455",619000,"Powiat włodawski",1996,67
"456",620000,"Powiat zamojski",1996,136
"457",661000,"Powiat m.Biała Podlaska",1996,308
"458",662000,"Powiat m.Chełm",1996,183
"459",663000,"Powiat m.Lublin",1996,1298
"460",664000,"Powiat m.Zamość",1996,153
"461",801000,"Powiat gorzowski",1996,120
"462",802000,"Powiat krośnieński",1996,36
"463",803000,"Powiat międzyrzecki",1996,17
