"","Kod","Nazwa","rok","BEZROBOCIE_ogolem_w_proc_bezrobotnych_ogolem_proc"
"6761",2612000,"Powiat staszowski",2003,50.2
"6762",2613000,"Powiat włoszczowski",2003,62.4
"6763",2661000,"Powiat m.Kielce",2003,50.2
"6764",2801000,"Powiat bartoszycki",2003,54.1
"6765",2802000,"Powiat braniewski",2003,57.8
"6766",2803000,"Powiat działdowski",2003,55.5
"6767",2804000,"Powiat elbląski",2003,53
"6768",2805000,"Powiat ełcki",2003,54.4
"6769",2806000,"Powiat giżycki",2003,51.1
"6770",2807000,"Powiat iławski",2003,54.1
"6771",2808000,"Powiat kętrzyński",2003,50.9
"6772",2809000,"Powiat lidzbarski",2003,58.5
"6773",2810000,"Powiat mrągowski",2003,51.8
"6774",2811000,"Powiat nidzicki",2003,51.4
"6775",2812000,"Powiat nowomiejski",2003,53.3
"6776",2813000,"Powiat olecki",2003,52.4
"6777",2814000,"Powiat olsztyński",2003,51.5
"6778",2815000,"Powiat ostródzki",2003,58.3
"6779",2816000,"Powiat piski",2003,53.2
"6780",2817000,"Powiat szczycieński",2003,50
"6781",2818000,"Powiat gołdapski",2003,62.5
"6782",2819000,"Powiat węgorzewski",2003,52.2
"6783",2861000,"Powiat m.Elbląg",2003,55.7
"6784",2862000,"Powiat m.Olsztyn",2003,48
"6785",3001000,"Powiat chodzieski",2003,52.6
"6786",3002000,"Powiat czarnkowsko-trzcianecki",2003,51.5
"6787",3003000,"Powiat gnieźnieński",2003,53.3
"6788",3004000,"Powiat gostyński",2003,46.5
"6789",3005000,"Powiat grodziski",2003,44.6
"6790",3006000,"Powiat jarociński",2003,52.3
"6791",3007000,"Powiat kaliski",2003,58.2
"6792",3008000,"Powiat kępiński",2003,50.8
"6793",3009000,"Powiat kolski",2003,58.7
"6794",3010000,"Powiat koniński",2003,55.1
"6795",3011000,"Powiat kościański",2003,44.2
"6796",3012000,"Powiat krotoszyński",2003,54.4
"6797",3013000,"Powiat leszczyński",2003,44.8
"6798",3014000,"Powiat międzychodzki",2003,52.3
"6799",3015000,"Powiat nowotomyski",2003,47.8
"6800",3016000,"Powiat obornicki",2003,48.2
"6801",3017000,"Powiat ostrowski",2003,52.6
"6802",3018000,"Powiat ostrzeszowski",2003,47.1
"6803",3019000,"Powiat pilski",2003,45.1
"6804",3020000,"Powiat pleszewski",2003,55.1
