"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_ogolem_zl"
"19524",1407000,"Powiat kozienicki",2016,2920
"19525",1408000,"Powiat legionowski",2016,4591
"19526",1409000,"Powiat lipski",2016,0
"19527",1410000,"Powiat łosicki",2016,2854
"19528",1411000,"Powiat makowski",2016,0
"19529",1412000,"Powiat miński",2016,3597
"19530",1413000,"Powiat mławski",2016,2406
"19531",1414000,"Powiat nowodworski",2016,3695
"19532",1415000,"Powiat ostrołęcki",2016,0
"19533",1416000,"Powiat ostrowski",2016,2778
"19534",1417000,"Powiat otwocki",2016,4706
"19535",1418000,"Powiat piaseczyński",2016,5441
"19536",1419000,"Powiat płocki",2016,1774
"19537",1420000,"Powiat płoński",2016,2742
"19538",1421000,"Powiat pruszkowski",2016,4823
"19539",1422000,"Powiat przasnyski",2016,2705
