"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_niepelnosprawnosc"
"10025",1408000,"Powiat legionowski",2015,915
"10026",1409000,"Powiat lipski",2015,365
"10027",1410000,"Powiat łosicki",2015,293
"10028",1411000,"Powiat makowski",2015,680
"10029",1412000,"Powiat miński",2015,882
"10030",1413000,"Powiat mławski",2015,607
"10031",1414000,"Powiat nowodworski",2015,891
"10032",1415000,"Powiat ostrołęcki",2015,682
"10033",1416000,"Powiat ostrowski",2015,938
"10034",1417000,"Powiat otwocki",2015,903
"10035",1418000,"Powiat piaseczyński",2015,739
"10036",1419000,"Powiat płocki",2015,1000
"10037",1420000,"Powiat płoński",2015,749
"10038",1421000,"Powiat pruszkowski",2015,1113
"10039",1422000,"Powiat przasnyski",2015,564
"10040",1423000,"Powiat przysuski",2015,370
"10041",1424000,"Powiat pułtuski",2015,466
"10042",1425000,"Powiat radomski",2015,1319
"10043",1426000,"Powiat siedlecki",2015,729
"10044",1427000,"Powiat sierpecki",2015,625
"10045",1428000,"Powiat sochaczewski",2015,704
"10046",1429000,"Powiat sokołowski",2015,422
"10047",1430000,"Powiat szydłowiecki",2015,541
"10048",1432000,"Powiat warszawski zachodni",2015,568
"10049",1433000,"Powiat węgrowski",2015,706
"10050",1434000,"Powiat wołomiński",2015,1811
"10051",1435000,"Powiat wyszkowski",2015,828
"10052",1436000,"Powiat zwoleński",2015,243
"10053",1437000,"Powiat żuromiński",2015,215
"10054",1438000,"Powiat żyrardowski",2015,707
"10055",1461000,"Powiat m.Ostrołęka",2015,765
"10056",1462000,"Powiat m.Płock",2015,839
