"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_osobowe_szt"
"8465",805000,"Powiat słubicki",2000,NA
"8466",806000,"Powiat strzelecko-drezdenecki",2000,NA
"8467",807000,"Powiat sulęciński",2000,NA
"8468",808000,"Powiat świebodziński",2000,NA
"8469",809000,"Powiat zielonogórski",2000,NA
"8470",810000,"Powiat żagański",2000,NA
"8471",811000,"Powiat żarski",2000,NA
"8472",812000,"Powiat wschowski",2000,NA
"8473",861000,"Powiat m.Gorzów Wielkopolski",2000,NA
"8474",862000,"Powiat m.Zielona Góra",2000,NA
"8475",1001000,"Powiat bełchatowski",2000,NA
"8476",1002000,"Powiat kutnowski",2000,NA
"8477",1003000,"Powiat łaski",2000,NA
"8478",1004000,"Powiat łęczycki",2000,NA
"8479",1005000,"Powiat łowicki",2000,NA
"8480",1006000,"Powiat łódzki wschodni",2000,NA
"8481",1007000,"Powiat opoczyński",2000,NA
"8482",1008000,"Powiat pabianicki",2000,NA
"8483",1009000,"Powiat pajęczański",2000,NA
"8484",1010000,"Powiat piotrkowski",2000,NA
"8485",1011000,"Powiat poddębicki",2000,NA
"8486",1012000,"Powiat radomszczański",2000,NA
"8487",1013000,"Powiat rawski",2000,NA
"8488",1014000,"Powiat sieradzki",2000,NA
"8489",1015000,"Powiat skierniewicki",2000,NA
"8490",1016000,"Powiat tomaszowski",2000,NA
"8491",1017000,"Powiat wieluński",2000,NA
"8492",1018000,"Powiat wieruszowski",2000,NA
"8493",1019000,"Powiat zduńskowolski",2000,NA
"8494",1020000,"Powiat zgierski",2000,NA
"8495",1021000,"Powiat brzeziński",2000,NA
"8496",1061000,"Powiat m.Łódź",2000,NA
"8497",1062000,"Powiat m.Piotrków Trybunalski",2000,NA
"8498",1063000,"Powiat m.Skierniewice",2000,NA
"8499",1201000,"Powiat bocheński",2000,NA
"8500",1202000,"Powiat brzeski",2000,NA
"8501",1203000,"Powiat chrzanowski",2000,NA
"8502",1204000,"Powiat dąbrowski",2000,NA
"8503",1205000,"Powiat gorlicki",2000,NA
"8504",1206000,"Powiat krakowski",2000,NA
"8505",1207000,"Powiat limanowski",2000,NA
"8506",1208000,"Powiat miechowski",2000,NA
"8507",1209000,"Powiat myślenicki",2000,NA
"8508",1210000,"Powiat nowosądecki",2000,NA
"8509",1211000,"Powiat nowotarski",2000,NA
"8510",1212000,"Powiat olkuski",2000,NA
"8511",1213000,"Powiat oświęcimski",2000,NA
"8512",1214000,"Powiat proszowicki",2000,NA
"8513",1215000,"Powiat suski",2000,NA
"8514",1216000,"Powiat tarnowski",2000,NA
"8515",1217000,"Powiat tatrzański",2000,NA
"8516",1218000,"Powiat wadowicki",2000,NA
"8517",1219000,"Powiat wielicki",2000,NA
"8518",1261000,"Powiat m.Kraków",2000,NA
"8519",1262000,"Powiat m.Nowy Sącz",2000,NA
"8520",1263000,"Powiat m.Tarnów",2000,NA
"8521",1401000,"Powiat białobrzeski",2000,NA
"8522",1402000,"Powiat ciechanowski",2000,NA
"8523",1403000,"Powiat garwoliński",2000,NA
"8524",1404000,"Powiat gostyniński",2000,NA
"8525",1405000,"Powiat grodziski",2000,NA
"8526",1406000,"Powiat grójecki",2000,NA
"8527",1407000,"Powiat kozienicki",2000,NA
"8528",1408000,"Powiat legionowski",2000,NA
"8529",1409000,"Powiat lipski",2000,NA
"8530",1410000,"Powiat łosicki",2000,NA
"8531",1411000,"Powiat makowski",2000,NA
"8532",1412000,"Powiat miński",2000,NA
"8533",1413000,"Powiat mławski",2000,NA
"8534",1414000,"Powiat nowodworski",2000,NA
"8535",1415000,"Powiat ostrołęcki",2000,NA
"8536",1416000,"Powiat ostrowski",2000,NA
"8537",1417000,"Powiat otwocki",2000,NA
"8538",1418000,"Powiat piaseczyński",2000,NA
