"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietna_powierzchnia_uZytkowa_1_mieszkania_m2"
"14112",215000,"Powiat oławski",2003,99.4
"14113",216000,"Powiat polkowicki",2003,129.3
"14114",217000,"Powiat strzeliński",2003,135.1
"14115",218000,"Powiat średzki",2003,133.3
"14116",219000,"Powiat świdnicki",2003,133.4
"14117",220000,"Powiat trzebnicki",2003,136.6
"14118",221000,"Powiat wałbrzyski",2003,143.3
"14119",222000,"Powiat wołowski",2003,137.7
"14120",223000,"Powiat wrocławski",2003,149.5
"14121",224000,"Powiat ząbkowicki",2003,124.6
"14122",225000,"Powiat zgorzelecki",2003,126.8
"14123",226000,"Powiat złotoryjski",2003,132.3
"14124",261000,"Powiat m.Jelenia Góra",2003,81.2
"14125",262000,"Powiat m.Legnica",2003,135.5
"14126",263000,"Powiat m.Wałbrzych do 2002",2003,NA
"14127",264000,"Powiat m.Wrocław",2003,79.9
"14128",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"14129",401000,"Powiat aleksandrowski",2003,114.3
"14130",402000,"Powiat brodnicki",2003,137.9
"14131",403000,"Powiat bydgoski",2003,141.2
"14132",404000,"Powiat chełmiński",2003,90.9
"14133",405000,"Powiat golubsko-dobrzyński",2003,100.6
"14134",406000,"Powiat grudziądzki",2003,138.1
"14135",407000,"Powiat inowrocławski",2003,121.3
"14136",408000,"Powiat lipnowski",2003,129.6
"14137",409000,"Powiat mogileński",2003,125.8
"14138",410000,"Powiat nakielski",2003,124.3
"14139",411000,"Powiat radziejowski",2003,116.3
"14140",412000,"Powiat rypiński",2003,88.7
"14141",413000,"Powiat sępoleński",2003,137.1
"14142",414000,"Powiat świecki",2003,113.5
"14143",415000,"Powiat toruński",2003,125.2
"14144",416000,"Powiat tucholski",2003,121.8
"14145",417000,"Powiat wąbrzeski",2003,108.2
"14146",418000,"Powiat włocławski",2003,131.2
"14147",419000,"Powiat żniński",2003,123.7
"14148",461000,"Powiat m.Bydgoszcz",2003,81.3
"14149",462000,"Powiat m.Grudziądz",2003,164.5
"14150",463000,"Powiat m.Toruń",2003,75.1
"14151",464000,"Powiat m.Włocławek",2003,91.1
"14152",601000,"Powiat bialski",2003,127.6
"14153",602000,"Powiat biłgorajski",2003,127.7
"14154",603000,"Powiat chełmski",2003,123.7
"14155",604000,"Powiat hrubieszowski",2003,131.4
"14156",605000,"Powiat janowski",2003,152.8
"14157",606000,"Powiat krasnostawski",2003,151.9
"14158",607000,"Powiat kraśnicki",2003,110.2
"14159",608000,"Powiat lubartowski",2003,126.6
"14160",609000,"Powiat lubelski",2003,144.1
"14161",610000,"Powiat łęczyński",2003,125.9
"14162",611000,"Powiat łukowski",2003,138.4
"14163",612000,"Powiat opolski",2003,133.8
"14164",613000,"Powiat parczewski",2003,103.4
"14165",614000,"Powiat puławski",2003,115.6
"14166",615000,"Powiat radzyński",2003,130.6
"14167",616000,"Powiat rycki",2003,128.1
"14168",617000,"Powiat świdnicki",2003,128.4
"14169",618000,"Powiat tomaszowski",2003,130.3
"14170",619000,"Powiat włodawski",2003,106.5
"14171",620000,"Powiat zamojski",2003,142.9
"14172",661000,"Powiat m.Biała Podlaska",2003,118.4
"14173",662000,"Powiat m.Chełm",2003,86.6
"14174",663000,"Powiat m.Lublin",2003,80.1
