"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_40_do_60_m2_zl"
"13814",1219000,"Powiat wielicki",2016,4592
"13815",1261000,"Powiat m.Kraków",2016,6189
"13816",1262000,"Powiat m.Nowy Sącz",2016,3836
"13817",1263000,"Powiat m.Tarnów",2016,3827
"13818",1401000,"Powiat białobrzeski",2016,0
"13819",1402000,"Powiat ciechanowski",2016,3577
"13820",1403000,"Powiat garwoliński",2016,0
"13821",1404000,"Powiat gostyniński",2016,2919
"13822",1405000,"Powiat grodziski",2016,3860
"13823",1406000,"Powiat grójecki",2016,3639
"13824",1407000,"Powiat kozienicki",2016,0
"13825",1408000,"Powiat legionowski",2016,4322
"13826",1409000,"Powiat lipski",2016,0
"13827",1410000,"Powiat łosicki",2016,0
"13828",1411000,"Powiat makowski",2016,0
"13829",1412000,"Powiat miński",2016,3972
"13830",1413000,"Powiat mławski",2016,2952
"13831",1414000,"Powiat nowodworski",2016,4387
"13832",1415000,"Powiat ostrołęcki",2016,0
"13833",1416000,"Powiat ostrowski",2016,0
"13834",1417000,"Powiat otwocki",2016,4942
"13835",1418000,"Powiat piaseczyński",2016,4201
"13836",1419000,"Powiat płocki",2016,2974
"13837",1420000,"Powiat płoński",2016,3444
"13838",1421000,"Powiat pruszkowski",2016,5434
"13839",1422000,"Powiat przasnyski",2016,0
"13840",1423000,"Powiat przysuski",2016,0
"13841",1424000,"Powiat pułtuski",2016,3286
"13842",1425000,"Powiat radomski",2016,0
"13843",1426000,"Powiat siedlecki",2016,0
"13844",1427000,"Powiat sierpecki",2016,0
"13845",1428000,"Powiat sochaczewski",2016,4463
"13846",1429000,"Powiat sokołowski",2016,2870
