"","Kod","Nazwa","rok","LASY_PRYWATNE_I_GMINNE_CTAB_lasy_ogolem_ha"
"8747",463000,"Powiat m.Toruń",1999,707
"8748",464000,"Powiat m.Włocławek",1999,262
"8749",601000,"Powiat bialski",1999,28723.6
"8750",602000,"Powiat biłgorajski",1999,31250
"8751",603000,"Powiat chełmski",1999,4923
"8752",604000,"Powiat hrubieszowski",1999,2475.2
"8753",605000,"Powiat janowski",1999,13459.4
"8754",606000,"Powiat krasnostawski",1999,5361
"8755",607000,"Powiat kraśnicki",1999,6432
"8756",608000,"Powiat lubartowski",1999,11091.5
"8757",609000,"Powiat lubelski",1999,10063.9
"8758",610000,"Powiat łęczyński",1999,3201
"8759",611000,"Powiat łukowski",1999,13642.2
"8760",612000,"Powiat opolski",1999,10101.9
"8761",613000,"Powiat parczewski",1999,7141
"8762",614000,"Powiat puławski",1999,8982.4
"8763",615000,"Powiat radzyński",1999,8208.4
"8764",616000,"Powiat rycki",1999,8179.7
"8765",617000,"Powiat świdnicki",1999,2791.6
"8766",618000,"Powiat tomaszowski",1999,7761.9
"8767",619000,"Powiat włodawski",1999,7213
"8768",620000,"Powiat zamojski",1999,17286.3
"8769",661000,"Powiat m.Biała Podlaska",1999,369
"8770",662000,"Powiat m.Chełm",1999,0
"8771",663000,"Powiat m.Lublin",1999,338.1
"8772",664000,"Powiat m.Zamość",1999,58.4
"8773",801000,"Powiat gorzowski",1999,405.9
"8774",802000,"Powiat krośnieński",1999,520.5
"8775",803000,"Powiat międzyrzecki",1999,1638.7
"8776",804000,"Powiat nowosolski",1999,1067.8
"8777",805000,"Powiat słubicki",1999,208.5
"8778",806000,"Powiat strzelecko-drezdenecki",1999,272.2
"8779",807000,"Powiat sulęciński",1999,161.4
"8780",808000,"Powiat świebodziński",1999,914.2
"8781",809000,"Powiat zielonogórski",1999,1410.1
"8782",810000,"Powiat żagański",1999,913
"8783",811000,"Powiat żarski",1999,1406.4
"8784",812000,"Powiat wschowski",1999,NA
"8785",861000,"Powiat m.Gorzów Wielkopolski",1999,34
"8786",862000,"Powiat m.Zielona Góra",1999,740.1
"8787",1001000,"Powiat bełchatowski",1999,14717.6
"8788",1002000,"Powiat kutnowski",1999,422.8
"8789",1003000,"Powiat łaski",1999,5868.7
"8790",1004000,"Powiat łęczycki",1999,1018.7
"8791",1005000,"Powiat łowicki",1999,4138.4
"8792",1006000,"Powiat łódzki wschodni",1999,3170.8
"8793",1007000,"Powiat opoczyński",1999,11811.4
"8794",1008000,"Powiat pabianicki",1999,2343.5
"8795",1009000,"Powiat pajęczański",1999,9469.2
"8796",1010000,"Powiat piotrkowski",1999,10330.2
"8797",1011000,"Powiat poddębicki",1999,4828.9
"8798",1012000,"Powiat radomszczański",1999,11125
"8799",1013000,"Powiat rawski",1999,2592.3
"8800",1014000,"Powiat sieradzki",1999,9151.9
"8801",1015000,"Powiat skierniewicki",1999,3763
"8802",1016000,"Powiat tomaszowski",1999,4820.3
"8803",1017000,"Powiat wieluński",1999,9095.1
"8804",1018000,"Powiat wieruszowski",1999,4008.1
"8805",1019000,"Powiat zduńskowolski",1999,1859.6
"8806",1020000,"Powiat zgierski",1999,4254.1
"8807",1021000,"Powiat brzeziński",1999,NA
"8808",1061000,"Powiat m.Łódź",1999,1973.7
"8809",1062000,"Powiat m.Piotrków Trybunalski",1999,51
"8810",1063000,"Powiat m.Skierniewice",1999,77
"8811",1201000,"Powiat bocheński",1999,7651.2
"8812",1202000,"Powiat brzeski",1999,5679.9
"8813",1203000,"Powiat chrzanowski",1999,1630.9
"8814",1204000,"Powiat dąbrowski",1999,2798.2
"8815",1205000,"Powiat gorlicki",1999,7371
"8816",1206000,"Powiat krakowski",1999,3621.9
"8817",1207000,"Powiat limanowski",1999,22944.4
"8818",1208000,"Powiat miechowski",1999,717.2
"8819",1209000,"Powiat myślenicki",1999,17491.8
"8820",1210000,"Powiat nowosądecki",1999,28162.4
"8821",1211000,"Powiat nowotarski",1999,38805.9
"8822",1212000,"Powiat olkuski",1999,6250.6
"8823",1213000,"Powiat oświęcimski",1999,1091.5
"8824",1214000,"Powiat proszowicki",1999,177.6
"8825",1215000,"Powiat suski",1999,19060.2
"8826",1216000,"Powiat tarnowski",1999,15096.3
"8827",1217000,"Powiat tatrzański",1999,8755.4
"8828",1218000,"Powiat wadowicki",1999,7605.8
"8829",1219000,"Powiat wielicki",1999,1249.8
"8830",1261000,"Powiat m.Kraków",1999,1058
"8831",1262000,"Powiat m.Nowy Sącz",1999,561.7
"8832",1263000,"Powiat m.Tarnów",1999,149
"8833",1401000,"Powiat białobrzeski",1999,6640.8
"8834",1402000,"Powiat ciechanowski",1999,6317.7
"8835",1403000,"Powiat garwoliński",1999,18802.3
"8836",1404000,"Powiat gostyniński",1999,2791.2
"8837",1405000,"Powiat grodziski",1999,2424.4
