"","Kod","Nazwa","rok","Wydatki_powiatow_na_1_mieszkanca_ogolem_zl"
"589",3010000,"Powiat koniński",2003,247
"590",3011000,"Powiat kościański",2003,347
"591",3012000,"Powiat krotoszyński",2003,553
"592",3013000,"Powiat leszczyński",2003,272
"593",3014000,"Powiat międzychodzki",2003,647
"594",3015000,"Powiat nowotomyski",2003,388
"595",3016000,"Powiat obornicki",2003,442
"596",3017000,"Powiat ostrowski",2003,434
"597",3018000,"Powiat ostrzeszowski",2003,621
"598",3019000,"Powiat pilski",2003,552
"599",3020000,"Powiat pleszewski",2003,684
"600",3021000,"Powiat poznański",2003,256
"601",3022000,"Powiat rawicki",2003,445
"602",3023000,"Powiat słupecki",2003,642
"603",3024000,"Powiat szamotulski",2003,450
"604",3025000,"Powiat średzki",2003,443
"605",3026000,"Powiat śremski",2003,472
"606",3027000,"Powiat turecki",2003,490
