"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_60_do_80_m2_zl"
"6174",1003000,"Powiat łaski",2016,2018
"6175",1004000,"Powiat łęczycki",2016,2466
"6176",1005000,"Powiat łowicki",2016,3148
"6177",1006000,"Powiat łódzki wschodni",2016,0
"6178",1007000,"Powiat opoczyński",2016,2643
"6179",1008000,"Powiat pabianicki",2016,2846
"6180",1009000,"Powiat pajęczański",2016,0
"6181",1010000,"Powiat piotrkowski",2016,1784
"6182",1011000,"Powiat poddębicki",2016,1809
"6183",1012000,"Powiat radomszczański",2016,2533
"6184",1013000,"Powiat rawski",2016,3040
"6185",1014000,"Powiat sieradzki",2016,2571
"6186",1015000,"Powiat skierniewicki",2016,0
"6187",1016000,"Powiat tomaszowski",2016,3756
"6188",1017000,"Powiat wieluński",2016,0
"6189",1018000,"Powiat wieruszowski",2016,2812
"6190",1019000,"Powiat zduńskowolski",2016,2457
"6191",1020000,"Powiat zgierski",2016,3207
"6192",1021000,"Powiat brzeziński",2016,3354
"6193",1061000,"Powiat m.Łódź",2016,4383
"6194",1062000,"Powiat m.Piotrków Trybunalski",2016,3352
"6195",1063000,"Powiat m.Skierniewice",2016,3667
"6196",1201000,"Powiat bocheński",2016,3957
"6197",1202000,"Powiat brzeski",2016,3359
"6198",1203000,"Powiat chrzanowski",2016,2710
"6199",1204000,"Powiat dąbrowski",2016,2565
"6200",1205000,"Powiat gorlicki",2016,2143
"6201",1206000,"Powiat krakowski",2016,4589
"6202",1207000,"Powiat limanowski",2016,2461
"6203",1208000,"Powiat miechowski",2016,0
"6204",1209000,"Powiat myślenicki",2016,3712
"6205",1210000,"Powiat nowosądecki",2016,2817
"6206",1211000,"Powiat nowotarski",2016,3915
"6207",1212000,"Powiat olkuski",2016,2651
"6208",1213000,"Powiat oświęcimski",2016,2791
"6209",1214000,"Powiat proszowicki",2016,0
"6210",1215000,"Powiat suski",2016,0
"6211",1216000,"Powiat tarnowski",2016,0
"6212",1217000,"Powiat tatrzański",2016,7621
"6213",1218000,"Powiat wadowicki",2016,3264
"6214",1219000,"Powiat wielicki",2016,4169
"6215",1261000,"Powiat m.Kraków",2016,6167
"6216",1262000,"Powiat m.Nowy Sącz",2016,2998
"6217",1263000,"Powiat m.Tarnów",2016,3151
"6218",1401000,"Powiat białobrzeski",2016,2619
"6219",1402000,"Powiat ciechanowski",2016,3131
"6220",1403000,"Powiat garwoliński",2016,1761
"6221",1404000,"Powiat gostyniński",2016,1959
"6222",1405000,"Powiat grodziski",2016,4642
"6223",1406000,"Powiat grójecki",2016,3609
"6224",1407000,"Powiat kozienicki",2016,2788
"6225",1408000,"Powiat legionowski",2016,4516
"6226",1409000,"Powiat lipski",2016,0
"6227",1410000,"Powiat łosicki",2016,2854
"6228",1411000,"Powiat makowski",2016,0
"6229",1412000,"Powiat miński",2016,3780
"6230",1413000,"Powiat mławski",2016,2959
"6231",1414000,"Powiat nowodworski",2016,3690
"6232",1415000,"Powiat ostrołęcki",2016,0
"6233",1416000,"Powiat ostrowski",2016,2541
