"","Kod","Nazwa","rok","BEZROBOCIE_kobiety_w_proc_bezrobotnych_kobiet_proc"
"19747",3208000,"Powiat kołobrzeski",2003,NA
"19748",3209000,"Powiat koszaliński",2003,NA
"19749",3210000,"Powiat myśliborski",2003,NA
"19750",3211000,"Powiat policki",2003,NA
"19751",3212000,"Powiat pyrzycki",2003,NA
"19752",3213000,"Powiat sławieński",2003,NA
"19753",3214000,"Powiat stargardzki",2003,NA
"19754",3215000,"Powiat szczecinecki",2003,NA
"19755",3216000,"Powiat świdwiński",2003,NA
"19756",3217000,"Powiat wałecki",2003,NA
"19757",3218000,"Powiat łobeski",2003,NA
"19758",3261000,"Powiat m.Koszalin",2003,NA
"19759",3262000,"Powiat m.Szczecin",2003,NA
"19760",3263000,"Powiat m.Świnoujście",2003,NA
"19761",201000,"Powiat bolesławiecki",2004,46.6
"19762",202000,"Powiat dzierżoniowski",2004,59.9
"19763",203000,"Powiat głogowski",2004,52.1
"19764",204000,"Powiat górowski",2004,58.8
"19765",205000,"Powiat jaworski",2004,59.9
"19766",206000,"Powiat jeleniogórski",2004,52.9
"19767",207000,"Powiat kamiennogórski",2004,45.3
"19768",208000,"Powiat kłodzki",2004,58.1
"19769",209000,"Powiat legnicki",2004,53.7
"19770",210000,"Powiat lubański",2004,49.4
"19771",211000,"Powiat lubiński",2004,47.3
"19772",212000,"Powiat lwówecki",2004,52.2
"19773",213000,"Powiat milicki",2004,53.3
"19774",214000,"Powiat oleśnicki",2004,52.4
"19775",215000,"Powiat oławski",2004,52.5
"19776",216000,"Powiat polkowicki",2004,58.1
"19777",217000,"Powiat strzeliński",2004,55.1
"19778",218000,"Powiat średzki",2004,53.5
"19779",219000,"Powiat świdnicki",2004,50.9
"19780",220000,"Powiat trzebnicki",2004,54.3
"19781",221000,"Powiat wałbrzyski",2004,52
"19782",222000,"Powiat wołowski",2004,57.2
"19783",223000,"Powiat wrocławski",2004,60.5
"19784",224000,"Powiat ząbkowicki",2004,49.1
"19785",225000,"Powiat zgorzelecki",2004,55
"19786",226000,"Powiat złotoryjski",2004,56.3
"19787",261000,"Powiat m.Jelenia Góra",2004,45.7
"19788",262000,"Powiat m.Legnica",2004,48.3
"19789",264000,"Powiat m.Wrocław",2004,56.3
"19790",265000,"Powiat m.Wałbrzych od 2013",2004,NA
"19791",401000,"Powiat aleksandrowski",2004,57.6
"19792",402000,"Powiat brodnicki",2004,60.3
"19793",403000,"Powiat bydgoski",2004,60.1
"19794",404000,"Powiat chełmiński",2004,58.6
"19795",405000,"Powiat golubsko-dobrzyński",2004,63.9
"19796",406000,"Powiat grudziądzki",2004,66.2
"19797",407000,"Powiat inowrocławski",2004,62.4
"19798",408000,"Powiat lipnowski",2004,62.5
"19799",409000,"Powiat mogileński",2004,69.2
"19800",410000,"Powiat nakielski",2004,63
"19801",411000,"Powiat radziejowski",2004,66.7
"19802",412000,"Powiat rypiński",2004,68.6
"19803",413000,"Powiat sępoleński",2004,62.8
"19804",414000,"Powiat świecki",2004,67
"19805",415000,"Powiat toruński",2004,57.3
"19806",416000,"Powiat tucholski",2004,63.2
"19807",417000,"Powiat wąbrzeski",2004,65
"19808",418000,"Powiat włocławski",2004,65.7
"19809",419000,"Powiat żniński",2004,65.2
"19810",461000,"Powiat m.Bydgoszcz",2004,48.2
"19811",462000,"Powiat m.Grudziądz",2004,58.8
"19812",463000,"Powiat m.Toruń",2004,52
"19813",464000,"Powiat m.Włocławek",2004,57.2
"19814",601000,"Powiat bialski",2004,64.2
"19815",602000,"Powiat biłgorajski",2004,52.9
"19816",603000,"Powiat chełmski",2004,63
"19817",604000,"Powiat hrubieszowski",2004,67.1
"19818",605000,"Powiat janowski",2004,56.8
"19819",606000,"Powiat krasnostawski",2004,58.2
"19820",607000,"Powiat kraśnicki",2004,55.8
"19821",608000,"Powiat lubartowski",2004,64.1
"19822",609000,"Powiat lubelski",2004,56.9
