"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_ubostwo"
"409",264000,"Powiat m.Wrocław",2015,4934
"410",265000,"Powiat m.Wałbrzych od 2013",2015,4050
"411",401000,"Powiat aleksandrowski",2015,2516
"412",402000,"Powiat brodnicki",2015,1724
"413",403000,"Powiat bydgoski",2015,2017
"414",404000,"Powiat chełmiński",2015,1667
"415",405000,"Powiat golubsko-dobrzyński",2015,1107
"416",406000,"Powiat grudziądzki",2015,1766
"417",407000,"Powiat inowrocławski",2015,4704
"418",408000,"Powiat lipnowski",2015,2556
"419",409000,"Powiat mogileński",2015,466
"420",410000,"Powiat nakielski",2015,2556
"421",411000,"Powiat radziejowski",2015,1068
"422",412000,"Powiat rypiński",2015,2064
"423",413000,"Powiat sępoleński",2015,782
"424",414000,"Powiat świecki",2015,2939
"425",415000,"Powiat toruński",2015,2613
"426",416000,"Powiat tucholski",2015,1262
"427",417000,"Powiat wąbrzeski",2015,1037
"428",418000,"Powiat włocławski",2015,4048
"429",419000,"Powiat żniński",2015,2001
"430",461000,"Powiat m.Bydgoszcz",2015,4345
"431",462000,"Powiat m.Grudziądz",2015,3729
"432",463000,"Powiat m.Toruń",2015,4255
"433",464000,"Powiat m.Włocławek",2015,6300
"434",601000,"Powiat bialski",2015,2145
"435",602000,"Powiat biłgorajski",2015,1671
"436",603000,"Powiat chełmski",2015,2268
"437",604000,"Powiat hrubieszowski",2015,1679
"438",605000,"Powiat janowski",2015,1076
"439",606000,"Powiat krasnostawski",2015,1589
"440",607000,"Powiat kraśnicki",2015,2216
"441",608000,"Powiat lubartowski",2015,2252
"442",609000,"Powiat lubelski",2015,1995
"443",610000,"Powiat łęczyński",2015,961
"444",611000,"Powiat łukowski",2015,1751
"445",612000,"Powiat opolski",2015,1433
"446",613000,"Powiat parczewski",2015,1146
"447",614000,"Powiat puławski",2015,1769
"448",615000,"Powiat radzyński",2015,1166
"449",616000,"Powiat rycki",2015,1156
"450",617000,"Powiat świdnicki",2015,1234
"451",618000,"Powiat tomaszowski",2015,1755
"452",619000,"Powiat włodawski",2015,1361
"453",620000,"Powiat zamojski",2015,1902
"454",661000,"Powiat m.Biała Podlaska",2015,780
"455",662000,"Powiat m.Chełm",2015,1354
"456",663000,"Powiat m.Lublin",2015,5746
"457",664000,"Powiat m.Zamość",2015,1418
"458",801000,"Powiat gorzowski",2015,1774
"459",802000,"Powiat krośnieński",2015,1613
"460",803000,"Powiat międzyrzecki",2015,1495
"461",804000,"Powiat nowosolski",2015,2307
"462",805000,"Powiat słubicki",2015,1114
"463",806000,"Powiat strzelecko-drezdenecki",2015,2504
"464",807000,"Powiat sulęciński",2015,1557
"465",808000,"Powiat świebodziński",2015,1336
"466",809000,"Powiat zielonogórski",2015,1659
"467",810000,"Powiat żagański",2015,2734
"468",811000,"Powiat żarski",2015,3187
"469",812000,"Powiat wschowski",2015,845
"470",861000,"Powiat m.Gorzów Wielkopolski",2015,2241
"471",862000,"Powiat m.Zielona Góra",2015,2267
"472",1001000,"Powiat bełchatowski",2015,2738
"473",1002000,"Powiat kutnowski",2015,2749
"474",1003000,"Powiat łaski",2015,596
"475",1004000,"Powiat łęczycki",2015,1450
"476",1005000,"Powiat łowicki",2015,728
"477",1006000,"Powiat łódzki wschodni",2015,1135
"478",1007000,"Powiat opoczyński",2015,1600
"479",1008000,"Powiat pabianicki",2015,1231
"480",1009000,"Powiat pajęczański",2015,730
"481",1010000,"Powiat piotrkowski",2015,1582
"482",1011000,"Powiat poddębicki",2015,636
"483",1012000,"Powiat radomszczański",2015,2971
"484",1013000,"Powiat rawski",2015,656
"485",1014000,"Powiat sieradzki",2015,2311
"486",1015000,"Powiat skierniewicki",2015,527
"487",1016000,"Powiat tomaszowski",2015,2271
"488",1017000,"Powiat wieluński",2015,1025
"489",1018000,"Powiat wieruszowski",2015,728
"490",1019000,"Powiat zduńskowolski",2015,1084
"491",1020000,"Powiat zgierski",2015,3252
"492",1021000,"Powiat brzeziński",2015,847
"493",1061000,"Powiat m.Łódź",2015,14348
"494",1062000,"Powiat m.Piotrków Trybunalski",2015,2206
"495",1063000,"Powiat m.Skierniewice",2015,811
"496",1201000,"Powiat bocheński",2015,1312
"497",1202000,"Powiat brzeski",2015,1017
"498",1203000,"Powiat chrzanowski",2015,2169
"499",1204000,"Powiat dąbrowski",2015,1416
"500",1205000,"Powiat gorlicki",2015,3127
"501",1206000,"Powiat krakowski",2015,2672
"502",1207000,"Powiat limanowski",2015,2659
"503",1208000,"Powiat miechowski",2015,585
"504",1209000,"Powiat myślenicki",2015,1253
"505",1210000,"Powiat nowosądecki",2015,4657
"506",1211000,"Powiat nowotarski",2015,1843
"507",1212000,"Powiat olkuski",2015,1267
"508",1213000,"Powiat oświęcimski",2015,1894
"509",1214000,"Powiat proszowicki",2015,485
"510",1215000,"Powiat suski",2015,1675
"511",1216000,"Powiat tarnowski",2015,2879
"512",1217000,"Powiat tatrzański",2015,765
"513",1218000,"Powiat wadowicki",2015,1770
"514",1219000,"Powiat wielicki",2015,1291
"515",1261000,"Powiat m.Kraków",2015,8356
"516",1262000,"Powiat m.Nowy Sącz",2015,1389
"517",1263000,"Powiat m.Tarnów",2015,2094
"518",1401000,"Powiat białobrzeski",2015,906
"519",1402000,"Powiat ciechanowski",2015,1610
"520",1403000,"Powiat garwoliński",2015,1734
"521",1404000,"Powiat gostyniński",2015,1000
"522",1405000,"Powiat grodziski",2015,1398
"523",1406000,"Powiat grójecki",2015,1078
"524",1407000,"Powiat kozienicki",2015,1380
"525",1408000,"Powiat legionowski",2015,1157
"526",1409000,"Powiat lipski",2015,955
"527",1410000,"Powiat łosicki",2015,772
"528",1411000,"Powiat makowski",2015,1314
"529",1412000,"Powiat miński",2015,2034
"530",1413000,"Powiat mławski",2015,1411
"531",1414000,"Powiat nowodworski",2015,1194
"532",1415000,"Powiat ostrołęcki",2015,2257
"533",1416000,"Powiat ostrowski",2015,1540
"534",1417000,"Powiat otwocki",2015,1584
"535",1418000,"Powiat piaseczyński",2015,1321
"536",1419000,"Powiat płocki",2015,2564
"537",1420000,"Powiat płoński",2015,1330
"538",1421000,"Powiat pruszkowski",2015,1011
"539",1422000,"Powiat przasnyski",2015,1976
"540",1423000,"Powiat przysuski",2015,915
"541",1424000,"Powiat pułtuski",2015,1213
"542",1425000,"Powiat radomski",2015,3093
"543",1426000,"Powiat siedlecki",2015,1803
"544",1427000,"Powiat sierpecki",2015,1496
"545",1428000,"Powiat sochaczewski",2015,1353
"546",1429000,"Powiat sokołowski",2015,854
"547",1430000,"Powiat szydłowiecki",2015,1691
