"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_powierzchnia_uZytkowa_mieszkan_m2"
"10072",1402000,"Powiat ciechanowski",1996,15085
"10073",1403000,"Powiat garwoliński",1996,30771
"10074",1404000,"Powiat gostyniński",1996,4741
"10075",1405000,"Powiat grodziski",1996,22815
"10076",1406000,"Powiat grójecki",1996,20338
"10077",1407000,"Powiat kozienicki",1996,8889
"10078",1408000,"Powiat legionowski",1996,28774
"10079",1409000,"Powiat lipski",1996,7429
"10080",1410000,"Powiat łosicki",1996,8397
"10081",1411000,"Powiat makowski",1996,8595
"10082",1412000,"Powiat miński",1996,57998
"10083",1413000,"Powiat mławski",1996,11474
"10084",1414000,"Powiat nowodworski",1996,14422
"10085",1415000,"Powiat ostrołęcki",1996,16158
"10086",1416000,"Powiat ostrowski",1996,13929
"10087",1417000,"Powiat otwocki",1996,28121
"10088",1418000,"Powiat piaseczyński",1996,44992
"10089",1419000,"Powiat płocki",1996,6055
"10090",1420000,"Powiat płoński",1996,4451
"10091",1421000,"Powiat pruszkowski",1996,49465
"10092",1422000,"Powiat przasnyski",1996,2163
"10093",1423000,"Powiat przysuski",1996,12369
