"","Kod","Nazwa","rok","WYPADKI_DROGOWE_CTAB_ofiary_smiertelne_na_100_tys_ludnosci_osoba"
"14205",1408000,"Powiat legionowski",2003,NA
"14206",1409000,"Powiat lipski",2003,NA
"14207",1410000,"Powiat łosicki",2003,NA
"14208",1411000,"Powiat makowski",2003,NA
"14209",1412000,"Powiat miński",2003,NA
"14210",1413000,"Powiat mławski",2003,NA
"14211",1414000,"Powiat nowodworski",2003,NA
"14212",1415000,"Powiat ostrołęcki",2003,NA
"14213",1416000,"Powiat ostrowski",2003,NA
"14214",1417000,"Powiat otwocki",2003,NA
"14215",1418000,"Powiat piaseczyński",2003,NA
"14216",1419000,"Powiat płocki",2003,NA
"14217",1420000,"Powiat płoński",2003,NA
"14218",1421000,"Powiat pruszkowski",2003,NA
"14219",1422000,"Powiat przasnyski",2003,NA
"14220",1423000,"Powiat przysuski",2003,NA
"14221",1424000,"Powiat pułtuski",2003,NA
"14222",1425000,"Powiat radomski",2003,NA
"14223",1426000,"Powiat siedlecki",2003,NA
"14224",1427000,"Powiat sierpecki",2003,NA
