"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_zl"
"8065",808000,"Powiat świebodziński",2016,3081
"8066",809000,"Powiat zielonogórski",2016,1850
"8067",810000,"Powiat żagański",2016,1911
"8068",811000,"Powiat żarski",2016,1903
"8069",812000,"Powiat wschowski",2016,2665
"8070",861000,"Powiat m.Gorzów Wielkopolski",2016,2873
"8071",862000,"Powiat m.Zielona Góra",2016,3494
"8072",1001000,"Powiat bełchatowski",2016,2897
"8073",1002000,"Powiat kutnowski",2016,0
"8074",1003000,"Powiat łaski",2016,0
"8075",1004000,"Powiat łęczycki",2016,2003
"8076",1005000,"Powiat łowicki",2016,3597
"8077",1006000,"Powiat łódzki wschodni",2016,0
"8078",1007000,"Powiat opoczyński",2016,0
"8079",1008000,"Powiat pabianicki",2016,1980
"8080",1009000,"Powiat pajęczański",2016,0
"8081",1010000,"Powiat piotrkowski",2016,0
"8082",1011000,"Powiat poddębicki",2016,0
"8083",1012000,"Powiat radomszczański",2016,1429
"8084",1013000,"Powiat rawski",2016,0
"8085",1014000,"Powiat sieradzki",2016,2043
"8086",1015000,"Powiat skierniewicki",2016,0
"8087",1016000,"Powiat tomaszowski",2016,3864
"8088",1017000,"Powiat wieluński",2016,0
"8089",1018000,"Powiat wieruszowski",2016,1951
"8090",1019000,"Powiat zduńskowolski",2016,0
"8091",1020000,"Powiat zgierski",2016,3548
"8092",1021000,"Powiat brzeziński",2016,0
"8093",1061000,"Powiat m.Łódź",2016,3910
"8094",1062000,"Powiat m.Piotrków Trybunalski",2016,3746
"8095",1063000,"Powiat m.Skierniewice",2016,3017
"8096",1201000,"Powiat bocheński",2016,3993
"8097",1202000,"Powiat brzeski",2016,0
"8098",1203000,"Powiat chrzanowski",2016,1464
"8099",1204000,"Powiat dąbrowski",2016,0
"8100",1205000,"Powiat gorlicki",2016,0
"8101",1206000,"Powiat krakowski",2016,4379
"8102",1207000,"Powiat limanowski",2016,0
"8103",1208000,"Powiat miechowski",2016,0
"8104",1209000,"Powiat myślenicki",2016,4543
"8105",1210000,"Powiat nowosądecki",2016,1109
"8106",1211000,"Powiat nowotarski",2016,3833
"8107",1212000,"Powiat olkuski",2016,0
"8108",1213000,"Powiat oświęcimski",2016,2570
"8109",1214000,"Powiat proszowicki",2016,0
"8110",1215000,"Powiat suski",2016,0
"8111",1216000,"Powiat tarnowski",2016,0
"8112",1217000,"Powiat tatrzański",2016,7283
"8113",1218000,"Powiat wadowicki",2016,2896
"8114",1219000,"Powiat wielicki",2016,3544
"8115",1261000,"Powiat m.Kraków",2016,6178
"8116",1262000,"Powiat m.Nowy Sącz",2016,2548
"8117",1263000,"Powiat m.Tarnów",2016,2841
"8118",1401000,"Powiat białobrzeski",2016,0
"8119",1402000,"Powiat ciechanowski",2016,2057
"8120",1403000,"Powiat garwoliński",2016,0
"8121",1404000,"Powiat gostyniński",2016,0
"8122",1405000,"Powiat grodziski",2016,3306
"8123",1406000,"Powiat grójecki",2016,2689
"8124",1407000,"Powiat kozienicki",2016,0
"8125",1408000,"Powiat legionowski",2016,3946
"8126",1409000,"Powiat lipski",2016,0
"8127",1410000,"Powiat łosicki",2016,0
"8128",1411000,"Powiat makowski",2016,0
"8129",1412000,"Powiat miński",2016,3052
"8130",1413000,"Powiat mławski",2016,2716
"8131",1414000,"Powiat nowodworski",2016,2572
"8132",1415000,"Powiat ostrołęcki",2016,0
"8133",1416000,"Powiat ostrowski",2016,0
"8134",1417000,"Powiat otwocki",2016,3972
"8135",1418000,"Powiat piaseczyński",2016,4460
"8136",1419000,"Powiat płocki",2016,0
"8137",1420000,"Powiat płoński",2016,1549
"8138",1421000,"Powiat pruszkowski",2016,4270
"8139",1422000,"Powiat przasnyski",2016,0
"8140",1423000,"Powiat przysuski",2016,0
"8141",1424000,"Powiat pułtuski",2016,1667
"8142",1425000,"Powiat radomski",2016,0
"8143",1426000,"Powiat siedlecki",2016,2420
"8144",1427000,"Powiat sierpecki",2016,0
"8145",1428000,"Powiat sochaczewski",2016,0
"8146",1429000,"Powiat sokołowski",2016,0
