"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_szt"
"7960",3201000,"Powiat białogardzki",2015,17
"7961",3202000,"Powiat choszczeński",2015,6
"7962",3203000,"Powiat drawski",2015,12
"7963",3204000,"Powiat goleniowski",2015,19
"7964",3205000,"Powiat gryficki",2015,10
"7965",3206000,"Powiat gryfiński",2015,17
"7966",3207000,"Powiat kamieński",2015,5
"7967",3208000,"Powiat kołobrzeski",2015,24
"7968",3209000,"Powiat koszaliński",2015,5
"7969",3210000,"Powiat myśliborski",2015,15
"7970",3211000,"Powiat policki",2015,55
"7971",3212000,"Powiat pyrzycki",2015,5
"7972",3213000,"Powiat sławieński",2015,20
"7973",3214000,"Powiat stargardzki",2015,39
"7974",3215000,"Powiat szczecinecki",2015,19
"7975",3216000,"Powiat świdwiński",2015,8
"7976",3217000,"Powiat wałecki",2015,13
"7977",3218000,"Powiat łobeski",2015,10
"7978",3261000,"Powiat m.Koszalin",2015,17
"7979",3262000,"Powiat m.Szczecin",2015,332
"7980",3263000,"Powiat m.Świnoujście",2015,12
"7981",201000,"Powiat bolesławiecki",2016,34
"7982",202000,"Powiat dzierżoniowski",2016,17
"7983",203000,"Powiat głogowski",2016,27
"7984",204000,"Powiat górowski",2016,0
"7985",205000,"Powiat jaworski",2016,21
"7986",206000,"Powiat jeleniogórski",2016,15
"7987",207000,"Powiat kamiennogórski",2016,12
"7988",208000,"Powiat kłodzki",2016,28
"7989",209000,"Powiat legnicki",2016,5
"7990",210000,"Powiat lubański",2016,10
"7991",211000,"Powiat lubiński",2016,46
"7992",212000,"Powiat lwówecki",2016,8
"7993",213000,"Powiat milicki",2016,11
"7994",214000,"Powiat oleśnicki",2016,25
"7995",215000,"Powiat oławski",2016,21
"7996",216000,"Powiat polkowicki",2016,4
"7997",217000,"Powiat strzeliński",2016,7
"7998",218000,"Powiat średzki",2016,5
"7999",219000,"Powiat świdnicki",2016,124
"8000",220000,"Powiat trzebnicki",2016,19
"8001",221000,"Powiat wałbrzyski",2016,20
"8002",222000,"Powiat wołowski",2016,22
"8003",223000,"Powiat wrocławski",2016,193
"8004",224000,"Powiat ząbkowicki",2016,13
"8005",225000,"Powiat zgorzelecki",2016,9
"8006",226000,"Powiat złotoryjski",2016,14
"8007",261000,"Powiat m.Jelenia Góra",2016,100
"8008",262000,"Powiat m.Legnica",2016,86
"8009",264000,"Powiat m.Wrocław",2016,1107
"8010",265000,"Powiat m.Wałbrzych od 2013",2016,34
"8011",401000,"Powiat aleksandrowski",2016,6
"8012",402000,"Powiat brodnicki",2016,6
"8013",403000,"Powiat bydgoski",2016,17
"8014",404000,"Powiat chełmiński",2016,6
"8015",405000,"Powiat golubsko-dobrzyński",2016,0
"8016",406000,"Powiat grudziądzki",2016,0
"8017",407000,"Powiat inowrocławski",2016,18
"8018",408000,"Powiat lipnowski",2016,0
"8019",409000,"Powiat mogileński",2016,0
"8020",410000,"Powiat nakielski",2016,7
"8021",411000,"Powiat radziejowski",2016,0
"8022",412000,"Powiat rypiński",2016,6
"8023",413000,"Powiat sępoleński",2016,3
"8024",414000,"Powiat świecki",2016,7
"8025",415000,"Powiat toruński",2016,9
"8026",416000,"Powiat tucholski",2016,0
"8027",417000,"Powiat wąbrzeski",2016,3
"8028",418000,"Powiat włocławski",2016,0
"8029",419000,"Powiat żniński",2016,7
"8030",461000,"Powiat m.Bydgoszcz",2016,221
"8031",462000,"Powiat m.Grudziądz",2016,20
"8032",463000,"Powiat m.Toruń",2016,57
"8033",464000,"Powiat m.Włocławek",2016,17
"8034",601000,"Powiat bialski",2016,0
"8035",602000,"Powiat biłgorajski",2016,6
"8036",603000,"Powiat chełmski",2016,0
"8037",604000,"Powiat hrubieszowski",2016,0
"8038",605000,"Powiat janowski",2016,0
"8039",606000,"Powiat krasnostawski",2016,0
"8040",607000,"Powiat kraśnicki",2016,0
"8041",608000,"Powiat lubartowski",2016,0
"8042",609000,"Powiat lubelski",2016,11
"8043",610000,"Powiat łęczyński",2016,4
"8044",611000,"Powiat łukowski",2016,0
"8045",612000,"Powiat opolski",2016,0
"8046",613000,"Powiat parczewski",2016,0
"8047",614000,"Powiat puławski",2016,4
"8048",615000,"Powiat radzyński",2016,0
"8049",616000,"Powiat rycki",2016,3
"8050",617000,"Powiat świdnicki",2016,5
"8051",618000,"Powiat tomaszowski",2016,3
"8052",619000,"Powiat włodawski",2016,0
"8053",620000,"Powiat zamojski",2016,0
"8054",661000,"Powiat m.Biała Podlaska",2016,6
"8055",662000,"Powiat m.Chełm",2016,5
"8056",663000,"Powiat m.Lublin",2016,175
"8057",664000,"Powiat m.Zamość",2016,8
"8058",801000,"Powiat gorzowski",2016,29
"8059",802000,"Powiat krośnieński",2016,12
"8060",803000,"Powiat międzyrzecki",2016,14
"8061",804000,"Powiat nowosolski",2016,11
"8062",805000,"Powiat słubicki",2016,27
"8063",806000,"Powiat strzelecko-drezdenecki",2016,9
"8064",807000,"Powiat sulęciński",2016,7
"8065",808000,"Powiat świebodziński",2016,13
"8066",809000,"Powiat zielonogórski",2016,15
"8067",810000,"Powiat żagański",2016,16
"8068",811000,"Powiat żarski",2016,41
"8069",812000,"Powiat wschowski",2016,3
"8070",861000,"Powiat m.Gorzów Wielkopolski",2016,77
"8071",862000,"Powiat m.Zielona Góra",2016,50
"8072",1001000,"Powiat bełchatowski",2016,5
"8073",1002000,"Powiat kutnowski",2016,0
"8074",1003000,"Powiat łaski",2016,0
"8075",1004000,"Powiat łęczycki",2016,4
"8076",1005000,"Powiat łowicki",2016,4
"8077",1006000,"Powiat łódzki wschodni",2016,0
"8078",1007000,"Powiat opoczyński",2016,0
"8079",1008000,"Powiat pabianicki",2016,12
"8080",1009000,"Powiat pajęczański",2016,0
"8081",1010000,"Powiat piotrkowski",2016,0
"8082",1011000,"Powiat poddębicki",2016,0
"8083",1012000,"Powiat radomszczański",2016,3
"8084",1013000,"Powiat rawski",2016,0
"8085",1014000,"Powiat sieradzki",2016,5
"8086",1015000,"Powiat skierniewicki",2016,0
"8087",1016000,"Powiat tomaszowski",2016,9
"8088",1017000,"Powiat wieluński",2016,0
"8089",1018000,"Powiat wieruszowski",2016,4
"8090",1019000,"Powiat zduńskowolski",2016,0
"8091",1020000,"Powiat zgierski",2016,15
"8092",1021000,"Powiat brzeziński",2016,0
"8093",1061000,"Powiat m.Łódź",2016,357
"8094",1062000,"Powiat m.Piotrków Trybunalski",2016,12
"8095",1063000,"Powiat m.Skierniewice",2016,6
"8096",1201000,"Powiat bocheński",2016,3
"8097",1202000,"Powiat brzeski",2016,0
"8098",1203000,"Powiat chrzanowski",2016,3
"8099",1204000,"Powiat dąbrowski",2016,0
"8100",1205000,"Powiat gorlicki",2016,0
"8101",1206000,"Powiat krakowski",2016,79
"8102",1207000,"Powiat limanowski",2016,0
"8103",1208000,"Powiat miechowski",2016,0
"8104",1209000,"Powiat myślenicki",2016,15
"8105",1210000,"Powiat nowosądecki",2016,8
"8106",1211000,"Powiat nowotarski",2016,11
"8107",1212000,"Powiat olkuski",2016,0
"8108",1213000,"Powiat oświęcimski",2016,3
"8109",1214000,"Powiat proszowicki",2016,0
"8110",1215000,"Powiat suski",2016,0
"8111",1216000,"Powiat tarnowski",2016,0
"8112",1217000,"Powiat tatrzański",2016,8
"8113",1218000,"Powiat wadowicki",2016,7
"8114",1219000,"Powiat wielicki",2016,57
"8115",1261000,"Powiat m.Kraków",2016,827
"8116",1262000,"Powiat m.Nowy Sącz",2016,21
"8117",1263000,"Powiat m.Tarnów",2016,30
"8118",1401000,"Powiat białobrzeski",2016,0
"8119",1402000,"Powiat ciechanowski",2016,6
"8120",1403000,"Powiat garwoliński",2016,0
"8121",1404000,"Powiat gostyniński",2016,0
"8122",1405000,"Powiat grodziski",2016,63
"8123",1406000,"Powiat grójecki",2016,14
"8124",1407000,"Powiat kozienicki",2016,0
"8125",1408000,"Powiat legionowski",2016,37
"8126",1409000,"Powiat lipski",2016,0
"8127",1410000,"Powiat łosicki",2016,0
"8128",1411000,"Powiat makowski",2016,0
"8129",1412000,"Powiat miński",2016,34
"8130",1413000,"Powiat mławski",2016,10
"8131",1414000,"Powiat nowodworski",2016,21
"8132",1415000,"Powiat ostrołęcki",2016,0
"8133",1416000,"Powiat ostrowski",2016,0
"8134",1417000,"Powiat otwocki",2016,23
"8135",1418000,"Powiat piaseczyński",2016,188
"8136",1419000,"Powiat płocki",2016,0
"8137",1420000,"Powiat płoński",2016,3
"8138",1421000,"Powiat pruszkowski",2016,179
"8139",1422000,"Powiat przasnyski",2016,0
"8140",1423000,"Powiat przysuski",2016,0
"8141",1424000,"Powiat pułtuski",2016,3
"8142",1425000,"Powiat radomski",2016,0
"8143",1426000,"Powiat siedlecki",2016,3
"8144",1427000,"Powiat sierpecki",2016,0
"8145",1428000,"Powiat sochaczewski",2016,0
"8146",1429000,"Powiat sokołowski",2016,0
"8147",1430000,"Powiat szydłowiecki",2016,0
"8148",1432000,"Powiat warszawski zachodni",2016,54
"8149",1433000,"Powiat węgrowski",2016,0
"8150",1434000,"Powiat wołomiński",2016,377
"8151",1435000,"Powiat wyszkowski",2016,4
"8152",1436000,"Powiat zwoleński",2016,0
"8153",1437000,"Powiat żuromiński",2016,3
"8154",1438000,"Powiat żyrardowski",2016,6
"8155",1461000,"Powiat m.Ostrołęka",2016,6
"8156",1462000,"Powiat m.Płock",2016,13
"8157",1463000,"Powiat m.Radom",2016,38
"8158",1464000,"Powiat m.Siedlce",2016,36
"8159",1465000,"Powiat m. st. Warszawa",2016,2627
"8160",1601000,"Powiat brzeski",2016,31
"8161",1602000,"Powiat głubczycki",2016,7
"8162",1603000,"Powiat kędzierzyńsko-kozielski",2016,25
"8163",1604000,"Powiat kluczborski",2016,9
