"","Kod","Nazwa","rok","SKOLARYZACJA_CTAB_wspolczynnik_skolaryzacji_netto_gimnazja_proc"
"18747",1212000,"Powiat olkuski",2004,98.59
"18748",1213000,"Powiat oświęcimski",2004,100.06
"18749",1214000,"Powiat proszowicki",2004,97.63
"18750",1215000,"Powiat suski",2004,98.85
"18751",1216000,"Powiat tarnowski",2004,91.92
"18752",1217000,"Powiat tatrzański",2004,89.45
"18753",1218000,"Powiat wadowicki",2004,99.74
"18754",1219000,"Powiat wielicki",2004,96.36
"18755",1261000,"Powiat m.Kraków",2004,98.4
"18756",1262000,"Powiat m.Nowy Sącz",2004,98.88
"18757",1263000,"Powiat m.Tarnów",2004,102.42
"18758",1401000,"Powiat białobrzeski",2004,97.4
"18759",1402000,"Powiat ciechanowski",2004,96.84
"18760",1403000,"Powiat garwoliński",2004,98.36
"18761",1404000,"Powiat gostyniński",2004,93.96
"18762",1405000,"Powiat grodziski",2004,101.96
"18763",1406000,"Powiat grójecki",2004,96.58
