"","Kod","Nazwa","rok","Ludnosc_wg_grup_wieku_i_plci_ogolem_ogolem_osoba"
"544",1424000,"Powiat pułtuski",1996,51621
"545",1425000,"Powiat radomski",1996,141045
"546",1426000,"Powiat siedlecki",1996,81910
"547",1427000,"Powiat sierpecki",1996,56616
"548",1428000,"Powiat sochaczewski",1996,84858
"549",1429000,"Powiat sokołowski",1996,61691
"550",1430000,"Powiat szydłowiecki",1996,45649
"551",1431000,"Powiat warszawski",1996,1628505
"552",1432000,"Powiat warszawski zachodni",1996,84592
"553",1433000,"Powiat węgrowski",1996,71983
"554",1434000,"Powiat wołomiński",1996,177395
"555",1435000,"Powiat wyszkowski",1996,71016
"556",1436000,"Powiat zwoleński",1996,38855
"557",1437000,"Powiat żuromiński",1996,42349
"558",1438000,"Powiat żyrardowski",1996,76488
"559",1461000,"Powiat m.Ostrołęka",1996,54560
"560",1462000,"Powiat m.Płock",1996,127670
"561",1463000,"Powiat m.Radom",1996,232823
"562",1464000,"Powiat m.Siedlce",1996,74996
"563",1465000,"Powiat m. st. Warszawa",1996,NA
"564",1601000,"Powiat brzeski",1996,93731
"565",1602000,"Powiat głubczycki",1996,53908
"566",1603000,"Powiat kędzierzyńsko-kozielski",1996,110900
"567",1604000,"Powiat kluczborski",1996,72719
