"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_80_m2_szt"
"27111",1216000,"Powiat tarnowski",2016,0
"27112",1217000,"Powiat tatrzański",2016,4
"27113",1218000,"Powiat wadowicki",2016,5
"27114",1219000,"Powiat wielicki",2016,30
"27115",1261000,"Powiat m.Kraków",2016,334
"27116",1262000,"Powiat m.Nowy Sącz",2016,21
"27117",1263000,"Powiat m.Tarnów",2016,25
"27118",1401000,"Powiat białobrzeski",2016,0
"27119",1402000,"Powiat ciechanowski",2016,4
"27120",1403000,"Powiat garwoliński",2016,0
"27121",1404000,"Powiat gostyniński",2016,0
"27122",1405000,"Powiat grodziski",2016,49
"27123",1406000,"Powiat grójecki",2016,14
"27124",1407000,"Powiat kozienicki",2016,0
"27125",1408000,"Powiat legionowski",2016,14
"27126",1409000,"Powiat lipski",2016,0
"27127",1410000,"Powiat łosicki",2016,0
"27128",1411000,"Powiat makowski",2016,0
"27129",1412000,"Powiat miński",2016,16
"27130",1413000,"Powiat mławski",2016,0
"27131",1414000,"Powiat nowodworski",2016,11
"27132",1415000,"Powiat ostrołęcki",2016,0
"27133",1416000,"Powiat ostrowski",2016,0
"27134",1417000,"Powiat otwocki",2016,13
"27135",1418000,"Powiat piaseczyński",2016,93
"27136",1419000,"Powiat płocki",2016,0
"27137",1420000,"Powiat płoński",2016,3
"27138",1421000,"Powiat pruszkowski",2016,47
"27139",1422000,"Powiat przasnyski",2016,0
"27140",1423000,"Powiat przysuski",2016,0
"27141",1424000,"Powiat pułtuski",2016,3
"27142",1425000,"Powiat radomski",2016,0
"27143",1426000,"Powiat siedlecki",2016,3
"27144",1427000,"Powiat sierpecki",2016,0
"27145",1428000,"Powiat sochaczewski",2016,0
"27146",1429000,"Powiat sokołowski",2016,0
"27147",1430000,"Powiat szydłowiecki",2016,0
"27148",1432000,"Powiat warszawski zachodni",2016,24
"27149",1433000,"Powiat węgrowski",2016,0
"27150",1434000,"Powiat wołomiński",2016,64
"27151",1435000,"Powiat wyszkowski",2016,4
"27152",1436000,"Powiat zwoleński",2016,0
"27153",1437000,"Powiat żuromiński",2016,0
"27154",1438000,"Powiat żyrardowski",2016,3
"27155",1461000,"Powiat m.Ostrołęka",2016,4
"27156",1462000,"Powiat m.Płock",2016,7
"27157",1463000,"Powiat m.Radom",2016,19
"27158",1464000,"Powiat m.Siedlce",2016,22
"27159",1465000,"Powiat m. st. Warszawa",2016,1445
"27160",1601000,"Powiat brzeski",2016,29
"27161",1602000,"Powiat głubczycki",2016,7
"27162",1603000,"Powiat kędzierzyńsko-kozielski",2016,25
